TopicID,RefinedTopicID,OriginalAutoCoherence,OriginalSubjClarity,OriginalSubjConsistency,OriginalSubjCorrelation,OriginalDocIntrDLO,OriginalDocIntrPercent,FreqAddWords,FreqRemoveWords,FreqRemoveArticles,FreqMergeWords,FreqSplitTheme,FreqChangeWordOrder,RefinedWordLength,RefinedDocumentLength,RefinedAutoCoherence,RefindSubjClarity,RefinedSubjConsistency,RefinedSubjCorrelation,RefinedDocIntrDLO,RefinedDocIntrPercent,Duration
18,6,0.11,4,3,4,0.0,1.0,0,0,0,0,0,0,18,40,0.044444444444444446,4,4,4,0.0,1.0,18
18,7,0.11,4,4,4,0.0,1.0,4,4,7,0,0,0,22,33,0.00909090909090909,5,5,5,0.0,1.0,282
18,8,0.11,4,4,4,0.0,1.0,0,0,0,0,6,1,7,40,0.6,4,4,4,-1.7694745588160754,0.8,282
19,0,0.02,4,4,4,-1.876888430524978,0.6,1,1,1,1,0,0,19,39,0.05263157894736842,4,4,4,-1.9764250825154288,0.4,98
19,1,0.02,1,1,1,-1.876888430524978,0.6,8,8,17,0,0,3,15,23,0.08571428571428572,4,5,5,-2.4776741636418786,0.6,664
19,2,0.02,2,2,2,-1.876888430524978,0.6,3,3,14,0,0,6,13,26,0.015384615384615385,5,5,5,0.0,1.0,269
19,3,0.02,2,3,3,-1.876888430524978,0.6,4,4,5,1,0,2,12,37,0.05,3,4,4,-0.56460600681829143,0.8,540
19,4,0.02,2,2,2,-1.876888430524978,0.6,0,0,0,0,0,1,4,40,-0.05,4,4,4,-1.5718519845563321,0.6,202
19,5,0.02,2,2,2,-1.876888430524978,0.6,3,3,4,0,0,2,21,36,0.047619047619047616,4,4,4,-2.4697584064021436,0.4,155
19,6,0.02,4,4,3,-1.876888430524978,0.6,2,2,2,0,2,3,14,38,0.05714285714285715,4,4,4,-1.43555655897961,0.6,215
19,7,0.02,3,3,4,-1.876888430524978,0.6,1,1,1,1,2,1,19,39,0.05263157894736842,3,3,4,-1.3081231160495155,0.6,164
19,8,0.02,4,4,2,-1.876888430524978,0.6,1,1,20,3,0,0,10,22,0.06666666666666667,4,4,4,-1.3178790456556058,0.8,182
20,0,0.11,4,4,5,-3.313896223180123,0.6,1,1,2,1,2,1,17,38,0.0823529411764706,5,5,5,0.0,1.0,135
20,1,0.11,2,2,2,-3.313896223180123,0.6,1,1,0,0,0,2,10,40,0.28,5,5,5,-1.1862691782980868,0.8,146
20,2,0.11,4,4,4,-3.313896223180123,0.6,0,0,0,2,2,0,35,40,0.07777777777777779,5,5,5,-1.7788757255426677,0.8,96
20,3,0.11,4,4,4,-3.313896223180123,0.6,7,7,4,6,0,8,30,36,0.07,5,5,5,0.0,1.0,829
20,4,0.11,3,3,4,-3.313896223180123,0.6,7,7,20,1,0,2,13,22,0.0375,5,5,5,0.0,1.0,430
20,5,0.11,4,4,4,-3.313896223180123,0.6,0,0,2,1,0,0,20,38,0.042105263157894736,5,5,5,0.0,1.0,144
20,6,0.11,4,4,4,-3.313896223180123,0.6,0,0,3,0,0,0,14,37,0.07142857142857144,5,4,5,-2.6087261257787993,0.6,161
20,7,0.11,5,4,4,-3.313896223180123,0.6,6,6,2,2,0,0,25,40,0.06086956521739131,5,5,5,0.0,1.0,369
20,8,0.11,4,4,4,-3.313896223180123,0.6,2,2,5,0,0,6,7,35,0.37142857142857144,5,5,5,0.0,1.0,123
22,0,0.15,3,2,3,0.0,1.0,6,6,17,0,6,8,19,23,0.05263157894736842,4,3,4,0.0,1.0,297
